wavelength,nk,flux
350.00000000, 1.04067426, 9.19700030
350.05000000, 1.07254345, 9.21462215
350.10000000, 1.07873426, 9.23224400
350.15000000, 1.07861286, 9.24986585
350.20000000, 1.08969966, 9.26748770
350.25000000, 1.10309922, 9.28984236
350.30000000, 1.10677787, 9.31331584
350.35000000, 1.11239675, 9.33678933
350.40000000, 1.13233503, 9.36026281
350.45000000, 1.15454180, 9.38373630
350.50000000, 1.14912814, 9.39962680
350.55000000, 1.10618782, 8.93701136
350.60000000, 1.05834747, 8.47439593
350.65000000, 1.02603105, 8.01178049
350.70000000, 0.99937446, 7.54916505
350.75000000, 0.98151110, 7.08654962
350.80000000, 0.98410340, 6.84546373
350.85000000, 0.99665219, 7.36567683
350.90000000, 1.00360347, 7.88588993
350.95000000, 1.00281361, 8.40610303
351.00000000, 0.98901086, 8.92631613
351.05000000, 0.95762503, 9.44652922
351.10000000, 0.92171943, 9.74320167
351.15000000, 0.90541349, 9.75351363
351.20000000, 0.91047335, 9.76382559
351.25000000, 0.90941048, 9.77413756
351.30000000, 0.88979717, 9.78444952
351.35000000, 0.86500852, 9.79476149
351.40000000, 0.84164637, 9.81705767
351.45000000, 0.82385707, 9.84568292
351.50000000, 0.81778815, 9.87430818
351.55000000, 0.82286490, 9.90293343
351.60000000, 0.84763983, 9.93155869
351.65000000, 0.89397486, 9.96018394
351.70000000, 0.94022689, 10.00311454
351.75000000, 0.97610768, 10.04811871
351.80000000, 1.01123898, 10.09312289
351.85000000, 1.04101714, 10.13812706
351.90000000, 1.04903059, 10.18313123
351.95000000, 1.03938235, 10.22994011
352.00000000, 1.02077583, 10.29378263
352.05000000, 0.99086853, 10.35762515
352.10000000, 0.95201792, 10.42146766
352.15000000, 0.91266342, 10.48531018
352.20000000, 0.87876319, 10.54915270
352.25000000, 0.85922033, 10.41325328
352.30000000, 0.85533691, 9.85523422
352.35000000, 0.84576409, 9.29721516
352.40000000, 0.81933543, 8.73919610
352.45000000, 0.78333148, 8.18117704
352.50000000, 0.74931138, 7.62315798
352.55000000, 0.73622694, 7.70888388
352.60000000, 0.74517330, 8.32216205
352.65000000, 0.75002534, 8.93544022
352.70000000, 0.74688464, 9.54871839
352.75000000, 0.76793251, 10.16199657
352.80000000, 0.82011460, 10.77527474
352.85000000, 0.87654716, 10.94209333
352.90000000, 0.92881162, 10.98386667
352.95000000, 0.97568205, 11.02564001
353.00000000, 1.00427952, 11.06741334
353.05000000, 1.01705329, 11.10918668
353.10000000, 1.02839576, 11.15097605
353.15000000, 1.04362987, 11.19376405
353.20000000, 1.05061432, 11.23655205
353.25000000, 1.04010390, 11.27934004
353.30000000, 1.02212466, 11.32212804
353.35000000, 1.01014079, 11.36491604
353.40000000, 1.02209799, 11.40799305
353.45000000, 1.06028575, 11.45192068
353.50000000, 1.09740996, 11.49584830
353.55000000, 1.11120592, 11.53977593
353.60000000, 1.10383812, 11.58370356
353.65000000, 1.09183236, 11.62763119
353.70000000, 1.08691759, 11.67151077
353.75000000, 1.08837419, 11.71534121
353.80000000, 1.09049254, 11.75917164
353.85000000, 1.09478173, 11.80300208
353.90000000, 1.11028169, 11.84683252
353.95000000, 1.13925109, 11.89066296
354.00000000, 1.17359731, 11.45141361
354.05000000, 1.18885438, 10.84101898
354.10000000, 1.16840523, 10.23062436
