# OSINAC 2015-02-14T12h19 (phase 11 deg)
# OSINAC filters (F16, F24, F23, F22, F27, F28, F51, F41, F61, F71)
# wavelengths    (360, 481, 536, 649, 701, 744, 805, 882, 932, 989)
# I/F values
Glbl-UR IDAA 0.02096 0.02246 0.02194 0.02288 0.02213 0.03036 0.03020 0.03249 0.03204 0.02990
Glbl-UR IDAB 0.03320 0.03318 0.03549 0.03501 0.03281 0.03857 0.03949 0.04052 0.04078 0.03921
Glbl-UR IDAD 0.04333 0.04411 0.04546 0.04557 0.04380 0.04543 0.04615 0.04755 0.04781 0.04575
Glbl-UR IDAE 0.04625 0.04691 0.04851 0.04871 0.04646 0.04893 0.04935 0.05104 0.05123 0.04891
Glbl-UR IDAH 0.05253 0.05277 0.05489 0.05488 0.05202 0.05622 0.05654 0.05894 0.05878 0.05574
localUR ID51 0.03126 0.02928 0.03145 0.03248 0.03039 0.03275 0.03403 0.03267 0.03879 0.03895
localUR ID56 0.04798 0.04744 0.05052 0.04852 0.04594 0.05279 0.05021 0.05027 0.05381 0.05178
localUR ID65 0.03630 0.03540 0.03832 0.03175 0.03806 0.04214 0.04057 0.04351 0.03767 0.04636
bldr/cm ID59 0.03279 0.03749 0.03218 0.03515 0.03056 0.03860 0.04563 0.03776 0.04057 0.03505
bldr/cm ID60 0.04302 0.05224 0.04244 0.04549 0.03844 0.04439 0.05444 0.04446 0.04761 0.04018
boulder ID50 0.02108 0.02198 0.02039 0.02140 0.02288 0.02147 0.02853 0.02953 0.02748 0.02944
boulder ID52 0.03654 0.04090 0.04062 0.03979 0.04384 0.04348 0.04088 0.04628 0.04524 0.04418
boulder ID53 0.04629 0.04562 0.04274 0.04901 0.04726 0.04647 0.04759 0.04609 0.04373 0.05000
boulder ID57 0.04919 0.05631 0.05324 0.05289 0.05708 0.05537 0.05277 0.05997 0.05680 0.05656
boulder ID58 0.02181 0.02369 0.02088 0.02246 0.01954 0.02974 0.03376 0.02932 0.03204 0.02787
boulder ID61 0.04602 0.05741 0.04541 0.04842 0.04103 0.04876 0.05994 0.04796 0.05104 0.04289
boulder ID62 0.05167 0.06404 0.05126 0.05449 0.04550 0.05444 0.06741 0.05472 0.05898 0.04863
boulder ID63 0.02258 0.02195 0.02328 0.01949 0.02358 0.03322 0.03252 0.03531 0.02859 0.03457
boulder ID66 0.04743 0.04514 0.04856 0.04300 0.05217 0.04987 0.04735 0.05060 0.04570 0.05520
boulder ID67 0.05109 0.04822 0.05154 0.04727 0.05711 0.05400 0.05081 0.05436 0.05034 0.06095
Brghtft ID68 0.05801 0.05463 0.05802 0.05385 0.06571 0.06185 0.05839 0.06199 0.05727 0.06987
#
# stddev
Glbl-UR IDAA 0.00079 0.00061 0.00109 0.00096 0.00046 0.00118 0.00084 0.00172 0.00138 0.00061
Glbl-UR IDAB 0.00128 0.00093 0.00174 0.00155 0.00067 0.00152 0.00099 0.00200 0.00188 0.00095
Glbl-UR IDAD 0.00161 0.00111 0.00197 0.00195 0.00094 0.00171 0.00107 0.00206 0.00203 0.00102
Glbl-UR IDAE 0.00171 0.00106 0.00208 0.00211 0.00102 0.00182 0.00110 0.00214 0.00225 0.00109
Glbl-UR IDAH 0.00196 0.00116 0.00210 0.00216 0.00109 0.00204 0.00105 0.00195 0.00199 0.00109
localUR ID51 0.00157 0.00372 0.00181 0.00059 0.00169 0.00222 0.00172 0.00447 0.00227 0.00073
localUR ID56 0.00242 0.00770 0.00299 0.00088 0.00286 0.00495 0.00261 0.00846 0.00300 0.00094
localUR ID65 0.00161 0.00137 0.00349 0.00606 0.00585 0.00204 0.00168 0.00387 0.00747 0.00775
bldr/cm ID59 0.00525 0.00651 0.00337 0.00376 0.00382 0.00653 0.00862 0.00445 0.00457 0.00459
bldr/cm ID60 0.00657 0.00926 0.00434 0.00492 0.00490 0.00705 0.00956 0.00444 0.00505 0.00505
boulder ID50 0.00132 0.00040 0.00110 0.00141 0.00116 0.00269 0.00162 0.00057 0.00151 0.00209
boulder ID52 0.00233 0.00339 0.00216 0.00656 0.00232 0.00074 0.00241 0.00374 0.00233 0.00681
boulder ID53 0.00247 0.00081 0.00250 0.00412 0.00238 0.00724 0.00274 0.00083 0.00264 0.00475
boulder ID57 0.00292 0.00524 0.00275 0.00837 0.00302 0.00095 0.00273 0.00515 0.00286 0.00765
boulder ID58 0.00341 0.00412 0.00215 0.00249 0.00236 0.00476 0.00585 0.00300 0.00340 0.00349
boulder ID61 0.00721 0.01033 0.00471 0.00527 0.00523 0.00760 0.01102 0.00485 0.00551 0.00533
boulder ID62 0.00768 0.01109 0.00482 0.00584 0.00569 0.00742 0.01085 0.00470 0.00618 0.00592
boulder ID63 0.00102 0.00084 0.00216 0.00397 0.00340 0.00149 0.00134 0.00313 0.00574 0.00520
boulder ID66 0.00204 0.00170 0.00369 0.00870 0.00836 0.00218 0.00176 0.00385 0.00936 0.00898
boulder ID67 0.00219 0.00177 0.00352 0.01039 0.00973 0.00229 0.00190 0.00392 0.01091 0.01021
Brghtft ID68 0.00252 0.00200 0.00394 0.01193 0.01045 0.00266 0.00200 0.00390 0.01255 0.01015
