# OSINAC 2016-04-10T11h50 (phase 51 deg, i deg, e deg)
# OSINAC filters (F15, F16, F24, F23, F22, F27, F28, F51, F41, F61, F71)
# wavelengths    (269, 360, 481, 536, 649, 701, 744, 805, 882, 932, 989)
# I/F values
Glbl-UR ID0 0.00799 0.00841 0.01200 0.01325 0.01623 0.01849 0.01907 0.01970 0.02107 0.02252 0.02283
Glbl-UR ID1 0.00674 0.00714 0.00990 0.01093 0.01343 0.01528 0.01570 0.01628 0.01753 0.01884 0.02046
Brghtft ID2 0.02577 0.03102 0.03416 0.03480 0.03620 0.03623 0.03799 0.03872 0.03986 0.04321 0.04587
Brghtsp ID3 0.01327 0.01430 0.02013 0.02146 0.02480 0.02677 0.02723 0.02782 0.02899 0.03046 0.03163
Cnsldmt ID4 0.00618 0.00649 0.00926 0.01029 0.01274 0.01449 0.01490 0.01549 0.01670 0.01765 0.01854
Spcl_ft ID5 0.00597 0.00623 0.00879 0.00983 0.01204 0.01354 0.01381 0.01469 0.01575 0.01708 0.01832
#
# stddev
Glbl-UR ID0 0.00018 0.00053 0.00026 0.00025 0.00038 0.00042 0.00041 0.00045 0.00047 0.00048 0.00205
Glbl-UR ID1 0.00020 0.00019 0.00030 0.00033 0.00045 0.00045 0.00044 0.00050 0.00054 0.00062 0.00065
Brghtft ID2 0.00815 0.01006 0.00979 0.00841 0.00727 0.00872 0.00695 0.00617 0.00738 0.00856 0.01182
Brghtsp ID3 0.00158 0.00138 0.00183 0.00170 0.00195 0.00215 0.00220 0.00183 0.00187 0.00203 0.00141
Cnsldmt ID4 0.00019 0.00018 0.00030 0.00033 0.00045 0.00046 0.00047 0.00056 0.00063 0.00067 0.00063
Spcl_ft ID5 0.00029 0.00029 0.00043 0.00049 0.00060 0.00064 0.00060 0.00084 0.00085 0.00096 0.00079
