wavelength I/F_head I/F_neck I/F_body
231.297 0.0175658 0.0303207 0.0202180
233.180 0.0192388 0.0305431 0.0217900
235.064 0.0191920 0.0303921 0.0212223
236.947 0.0192465 0.0317516 0.0212373
238.831 0.0185261 0.0299815 0.0198968
240.714 0.0181446 0.0294988 0.0195168
242.598 0.0177404 0.0301967 0.0193400
244.481 0.0183538 0.0304064 0.0198559
246.365 0.0186414 0.0301609 0.0191230
248.248 0.0180022 0.0283124 0.0191763
250.132 0.0188139 0.0293836 0.0192947
252.015 0.0177002 0.0290538 0.0194112
253.899 0.0178047 0.0294772 0.0207333
255.782 0.0169983 0.0286628 0.0190668
257.666 0.0178536 0.0286221 0.0185475
259.549 0.0173157 0.0286073 0.0184976
261.433 0.0167147 0.0275598 0.0189520
263.316 0.0168198 0.0268398 0.0184923
265.200 0.0171148 0.0274526 0.0176620
267.083 0.0163286 0.0279803 0.0192143
268.967 0.0166213 0.0278074 0.0182371
270.850 0.0160773 0.0273924 0.0194499
272.734 0.0170100 0.0269188 0.0184485
274.617 0.0161505 0.0271543 0.0180557
276.501 0.0174567 0.0271909 0.0184846
278.384 0.0161087 0.0269591 0.0188363
280.268 0.0163224 0.0261936 0.0187416
282.151 0.0169036 0.0263500 0.0181291
284.035 0.0160743 0.0265742 0.0179239
285.918 0.0163310 0.0260676 0.0180588
287.802 0.0154295 0.0257770 0.0179630
289.685 0.0152928 0.0264847 0.0176337
291.569 0.0161950 0.0262273 0.0178194
293.453 0.0156043 0.0255568 0.0176764
295.336 0.0155697 0.0245445 0.0173938
297.220 0.0157939 0.0266555 0.0184781
299.103 0.0157746 0.0261513 0.0169280
300.987 0.0153125 0.0257991 0.0176208
302.870 0.0144904 0.0250839 0.0181469
304.754 0.0151079 0.0249519 0.0179868
306.637 0.0147579 0.0248946 0.0163878
308.521 0.0153697 0.0256659 0.0170004
310.404 0.0152479 0.0253927 0.0170286
312.288 0.0149940 0.0250517 0.0175466
314.171 0.0153510 0.0240096 0.0168579
316.055 0.0147937 0.0249793 0.0159288
317.938 0.0150491 0.0241873 0.0171960
319.822 0.0145354 0.0248705 0.0169289
321.705 0.0144845 0.0239934 0.0167103
323.589 0.0142993 0.0245466 0.0168073
325.472 0.0146368 0.0243542 0.0161452
327.356 0.0143034 0.0240293 0.0168626
329.239 0.0138793 0.0244460 0.0173397
331.123 0.0143894 0.0245548 0.0159295
333.006 0.0141202 0.0245698 0.0165613
334.890 0.0137111 0.0230007 0.0151865
336.773 0.0139894 0.0239267 0.0153357
338.657 0.0135023 0.0245541 0.0166750
340.540 0.0140935 0.0244026 0.0158234
342.424 0.0139175 0.0241892 0.0168210
344.307 0.0141301 0.0239744 0.0164792
346.191 0.0137678 0.0222272 0.0155696
348.074 0.0138219 0.0230491 0.0158703
349.958 0.0135842 0.0230116 0.0154124
351.841 0.0137285 0.0237951 0.0159329
353.725 0.0141582 0.0250261 0.0161262
355.608 0.0139545 0.0244686 0.0157909
357.492 0.0141317 0.0238698 0.0164907
359.375 0.0133068 0.0241574 0.0166217
361.259 0.0142717 0.0239248 0.0162996
363.142 0.0134399 0.0236295 0.0154504
365.026 0.0134358 0.0241489 0.0157911
366.909 0.0132938 0.0221633 0.0159246
368.793 0.0137346 0.0231890 0.0159962
370.676 0.0132681 0.0231411 0.0154129
372.560 0.0140451 0.0236506 0.0159956
374.443 0.0137157 0.0239133 0.0159884
376.327 0.0140004 0.0228169 0.0162938
378.210 0.0138053 0.0238703 0.0161900
380.094 0.0141824 0.0250640 0.0162171
381.977 0.0136260 0.0237774 0.0164190
383.861 0.0134771 0.0229671 0.0154045
385.745 0.0133872 0.0232965 0.0155933
387.628 0.0131673 0.0233101 0.0157954
389.512 0.0138591 0.0236148 0.0161318
391.395 0.0136698 0.0240508 0.0154691
393.279 0.0132884 0.0230969 0.0156052
395.162 0.0136544 0.0232044 0.0156295
397.046 0.0133123 0.0215721 0.0150007
398.929 0.0130608 0.0230847 0.0151112
400.813 0.0130920 0.0230604 0.0153578
402.696 0.0138380 0.0242235 0.0151875
404.580 0.0133069 0.0234721 0.0147111
406.463 0.0135424 0.0234886 0.0152644
408.347 0.0133818 0.0235690 0.0151513
410.230 0.0134043 0.0228990 0.0156429
412.114 0.0134314 0.0230653 0.0153975
413.997 0.0127988 0.0228606 0.0150543
415.881 0.0130946 0.0232861 0.0155807
417.764 0.0136509 0.0233697 0.0149261
419.648 0.0136571 0.0230918 0.0146890
421.531 0.0134653 0.0230738 0.0155708
423.415 0.0135919 0.0237064 0.0160019
425.298 0.0135014 0.0234023 0.0156118
427.182 0.0135498 0.0233881 0.0153695
429.065 0.0132013 0.0233219 0.0156010
430.949 0.0133036 0.0230081 0.0150583
432.832 0.0134011 0.0229265 0.0149276
434.716 0.0131650 0.0229610 0.0156682
436.599 0.0136546 0.0236093 0.0156000
438.483 0.0133966 0.0238141 0.0156270
440.366 0.0133342 0.0230304 0.0148918
442.250 0.0132379 0.0232946 0.0149948
444.133 0.0132612 0.0234942 0.0150939
446.017 0.0133653 0.0236103 0.0152133
447.900 0.0136735 0.0237285 0.0152743
449.784 0.0135366 0.0240261 0.0153709
451.667 0.0134465 0.0236142 0.0148537
453.551 0.0133745 0.0233797 0.0150406
