wavelength,transmission
350.000,0.000000
351.000,0.000000
352.000,0.000000
353.000,0.000000
354.000,0.00416600
355.000,0.000000
356.000,0.00982000
357.000,0.000000
358.000,0.0139880
359.000,0.000000
360.000,0.000000
361.000,0.000000
362.000,0.000794000
363.000,0.000000
364.000,0.000000
365.000,0.00575500
366.000,0.000000
367.000,0.00476200
368.000,0.000000
369.000,0.0166600
370.000,0.000000
371.000,0.0136860
372.000,0.000000
373.000,0.0197410
374.000,0.0248750
375.000,0.0512450
376.000,0.106534
377.000,0.304457
378.000,0.369600
379.000,0.498805
380.000,0.941251
381.000,1.24607
382.000,1.27090
383.000,2.09909
384.000,6.63848
385.000,22.2252
386.000,36.7316
387.000,31.3751
388.000,15.1263
389.000,8.61462
390.000,9.86318
391.000,20.1912
392.000,41.2829
393.000,49.4433
394.000,49.3926
395.000,57.9266
396.000,69.8544
397.000,77.6238
398.000,80.6933
399.000,80.8647
400.000,80.5627
401.000,81.2723
402.000,82.5676
403.000,82.4753
404.000,79.7333
405.000,76.8978
406.000,77.0028
407.000,79.8276
408.000,81.4140
409.000,80.5270
410.000,79.4876
411.000,79.9322
412.000,81.6304
413.000,83.7222
414.000,85.0874
415.000,84.5419
416.000,82.7717
417.000,81.6512
418.000,83.1042
419.000,85.7555
420.000,87.8787
421.000,89.1456
422.000,89.7376
423.000,89.3860
424.000,88.2810
425.000,87.9337
426.000,89.2159
427.000,90.8106
428.000,90.5235
429.000,88.4087
430.000,86.7853
431.000,87.6320
432.000,89.8476
433.000,91.6790
434.000,92.1484
435.000,92.1036
436.000,92.1494
437.000,92.1539
438.000,91.4981
439.000,90.8697
440.000,90.9825
441.000,91.6492
442.000,92.0193
443.000,91.6382
444.000,90.6968
445.000,89.9197
446.000,89.3179
447.000,88.8418
448.000,88.7118
449.000,89.1118
450.000,90.2488
451.000,91.6294
452.000,92.4892
453.000,92.4085
454.000,91.8289
455.000,91.4667
456.000,91.5757
457.000,92.1123
458.000,92.9089
459.000,93.5266
460.000,93.5534
461.000,92.9010
462.000,91.7069
463.000,90.7003
464.000,90.4404
465.000,91.1033
466.000,92.2574
467.000,93.0404
468.000,92.8409
469.000,91.8845
470.000,90.7679
471.000,89.8896
472.000,89.4534
473.000,89.3789
474.000,89.4730
475.000,89.8576
476.000,90.6239
477.000,91.6395
478.000,92.6463
479.000,93.3211
480.000,93.5160
481.000,93.2922
482.000,93.0265
483.000,92.8577
484.000,92.6350
485.000,92.3962
486.000,92.3129
487.000,92.4270
488.000,93.0280
489.000,93.6804
490.000,93.8841
491.000,93.3102
492.000,92.0629
493.000,90.9107
494.000,90.4926
495.000,91.1590
496.000,92.6294
497.000,94.1587
498.000,95.0650
499.000,95.1594
500.000,94.6230
501.000,93.8941
502.000,93.3913
503.000,93.0173
504.000,92.6716
505.000,92.2764
506.000,91.9931
507.000,91.9193
508.000,92.1345
509.000,92.5992
510.000,93.0554
511.000,93.2991
512.000,93.3131
513.000,93.2770
514.000,93.4018
515.000,93.7996
516.000,94.2858
517.000,94.6116
518.000,94.5728
519.000,94.2685
520.000,93.9987
521.000,93.9003
522.000,94.0542
523.000,94.2428
524.000,94.0497
525.000,93.4038
526.000,92.5484
527.000,91.7415
528.000,91.3741
529.000,91.5870
530.000,92.1416
531.000,92.7095
532.000,93.1117
533.000,93.3210
534.000,93.4436
535.000,93.7877
536.000,94.4268
537.000,95.0523
538.000,95.3481
539.000,95.1399
540.000,94.5780
541.000,94.0837
542.000,93.9174
543.000,94.4244
544.000,95.1033
545.000,95.5863
546.000,95.7210
547.000,95.4058
548.000,95.0042
549.000,94.9829
550.000,95.2305
551.000,95.3500
552.000,94.7191
553.000,93.0640
554.000,90.8218
555.000,89.2636
556.000,89.2967
557.000,91.1769
558.000,93.8346
559.000,94.8268
560.000,92.2998
561.000,86.7913
562.000,80.5517
563.000,76.4403
564.000,74.7229
565.000,72.3911
566.000,64.5519
567.000,50.0252
568.000,34.2597
569.000,21.8465
570.000,13.3154
571.000,7.69325
572.000,4.22784
573.000,2.18190
574.000,1.11955
575.000,0.589673
576.000,0.332831
577.000,0.181785
578.000,0.130501
579.000,0.0748250
580.000,0.0552050
581.000,0.0429160
582.000,0.0411260
583.000,0.0235070
584.000,0.0196000
585.000,0.0232290
586.000,0.00999200
587.000,0.0194140
588.000,0.0118010
589.000,0.0226520
590.000,0.00828200
591.000,0.0347320
592.000,0.0159900
593.000,0.0258850
594.000,0.0105590
595.000,0.0314960
596.000,0.0104690
597.000,0.0163630
598.000,0.0217880
599.000,0.0173170
600.000,0.0143710
601.000,0.00856200
602.000,0.0221710
603.000,0.000000
604.000,0.00789800
605.000,0.000000
606.000,0.0170320
607.000,0.000000
608.000,0.0123740
609.000,0.000000
610.000,0.0142740
611.000,0.000000
612.000,0.00837800
613.000,0.000000
614.000,0.00466100
615.000,0.000000
616.000,0.000000
617.000,0.000000
618.000,0.000000
619.000,0.00437800
620.000,0.000000
621.000,0.00618700
622.000,0.000000
623.000,0.0179920
624.000,0.000000
625.000,0.00857000
626.000,0.000000
627.000,0.0137090
628.000,0.000190000
629.000,0.000190000
